model_name	model_order	p_val_group	p_val_interaction	full_beta_intercept	full_beta_group_1	full_beta_age	full_beta_age_x_group_1	noGroup_beta_intercept	noGroup_beta_age	noInteraction_beta_intercept	noInteraction_beta_group_1	noInteraction_beta_age
clau_lh	1	0.08810073270529761	0.09719298914343133	1861.6639544248724	-53.532885418258005	-3.6312421758944566	2.4125023718260548	1831.5363476455357	-2.1761820594140473	1840.4003041020485	-18.097380840856033	-2.1644118683566314
clau_rh	1	2.0407624332641205e-06	0.5753310438934671	1831.5633460587833	49.41353845693597	-1.9334795172079864	0.8371957528660556	1854.1866370360312	-1.3815285173829617	1823.9102936917034	62.33524499650039	-1.4315266894496865
